id,for_user_id,round_id,item,idea_content,rater1,rater2,rater3,self
40396,48,1,box,memory keep safes,1,2,1,2
40397,48,1,box,money,2,1,2,1
40398,48,1,box,nail polish,1,2,1,2
40399,48,1,box,panties,2,1,2,3
40400,48,1,box,paper,3,1,1,2
40401,48,1,box,pens,1,1,2,2
40402,48,1,box,phones,1,1,2,2
40403,48,1,box,pictures,2,2,2,2
40404,48,1,box,purses,2,2,2,2
40405,48,1,box,receipts,1,1,1,2
40406,48,1,box,shoes,2,1,1,1
40407,48,1,box,skeleton,1,1,2,4
40408,48,1,box,socks,2,2,2,2
40409,48,1,box,toys,2,2,1,2
40410,49,1,box,draw on it,2,2,1,3
40411,49,1,box,drink out of it,3,1,2,5
40412,49,1,box,float to an island on it,3,3,2,5
40413,49,1,box,hit people with it,2,1,2,2
40414,49,1,box,kick it like a piece of ice at a ice skating rink,2,2,2,5
40415,49,1,box,roll dice with it,3,2,3,5
40416,49,1,box,store stuff in it,1,1,1,2
40417,49,1,box,to build high buildings,2,1,2,3
40418,49,1,box,to sit on it,2,1,1,2
40419,49,1,box,to take it apart,2,1,2,4
40420,49,1,box,use the corners to poke people,3,3,3,3
40421,50,1,box,bookmark,4,2,2,2
40422,50,1,box,chair,2,1,1,2
40423,50,1,box,clothes,2,1,1,2
40424,50,1,box,cutting board,4,3,2,3
40425,50,1,box,house,2,1,1,2
40426,50,1,box,imaginary race car,2,2,2,2
40427,50,1,box,plate,2,2,1,2
40428,50,1,box,pooper scooper,3,3,2,3
40429,50,1,box,something to write on,2,1,1,2
40430,50,1,box,table,2,1,1,2
40431,50,1,box,toilet paper,2,2,2,3
40432,50,1,box,umbrella,2,3,1,2
40433,51,1,box,cut a flat piece of the cardboard out and use it like a table to be able to write on it,2,1,1,5
40434,51,1,box,organize objects,1,1,1,5
40435,51,1,box,set boundaries for animals,2,3,2,4
40436,51,1,box,sled for going down hills,2,1,1,4
40437,51,1,box,storage for many things in life,1,1,1,5
40438,51,1,box,use it as a costume ,2,1,2,5
40439,51,1,box,use pieces of the to make ornaments and various objects that could be used in daily life,2,3,1,5
40440,52,1,box,chair,2,1,1,1
40441,52,1,box,dog house,2,1,2,1
40442,52,1,box,foot stool,2,1,1,1
40443,52,1,box,Fort,2,1,2,5
40444,52,1,box,Plant things in,3,2,2,2
40445,52,1,box,race car,2,2,2,2
40446,52,1,box,recycling bin,2,1,1,1
40447,52,1,box,windshield protector,3,3,2,5
40448,53,1,box,A HAT,2,1,1,1
40449,53,1,box,a hiding spot,2,1,2,2
40450,53,1,box,Clubhouse that's bigger on the inside than it appears to be on the out,3,2,2,4
40451,53,1,box,Costume,2,1,2,3
40452,53,1,box,Imaginary Car,2,2,2,3
40453,53,1,box,Playhouse,2,1,2,3
40454,53,1,box,Something to be pushed down the stairs in,2,1,2,4
40455,53,1,box,Thinking place,2,2,3,2
40456,54,1,box,A backpack,3,1,2,5
40457,54,1,box,A cabinet for food,2,1,1,3
40458,54,1,box,A crate for a dog,3,1,2,5
40459,54,1,box,A desk,2,1,1,5
40460,54,1,box,A hat,2,1,1,5
40461,54,1,box,A house for kids to play in,2,1,2,5
40462,54,1,box,A suitcase/traveling bag,3,2,1,4
40463,54,1,box,Clothing,2,1,1,5
40464,54,1,box,To hold different items in,1,1,1,1
40465,55,1,box,car in play,1,1,1,5
40466,55,1,box,coffee table,2,1,1,5
40467,55,1,box,easily lift things,1,1,1,3
40468,55,1,box,easily transfer objects,1,1,1,3
40469,55,1,box,files,1,1,1,3
40470,55,1,box,foot rest,2,1,1,5
40471,55,1,box,gift,2,1,1,3
40472,55,1,box,hide,2,1,2,5
40473,55,1,box,mailbox,2,2,1,3
40474,55,1,box,movie,1,1,1,3
40475,55,1,box,moving,1,1,1,3
40476,55,1,box,organization,1,1,1,3
40477,55,1,box,packing,1,1,1,3
40478,55,1,box,pull around a kid in,2,2,2,5
40479,55,1,box,put bills in,1,1,1,3
40480,55,1,box,storage,1,1,1,3
40481,55,1,box,taking up space,2,1,2,3
40482,55,1,box,wrapping,1,1,1,3
40483,56,1,box,rip the into pieces and use a couple as a front and back chest armor suit  then use one to make a sword and the rest to make a helmet or other parts of armor,2,3,2,2
40484,57,1,box,capturing things,1,1,2,4
40485,57,1,box,hiding stuff,2,1,2,4
40486,57,1,box,making a home for a small animal,2,1,2,4
40487,57,1,box,playing games,2,2,1,4
40488,57,1,box,shoe storage,1,1,1,1
40489,57,1,box,sitting inside,2,1,1,4
40490,57,1,box,standing on,2,1,1,3
40491,57,1,box,storing things,1,1,1,1
40492,57,1,box,using it for a hat,2,1,1,4
40493,57,1,box,using it for a table,2,1,1,4
40494,57,1,box,using it to put stuff on,1,1,1,2
40495,58,1,box,a hiding place,2,1,2,1
40496,58,1,box,a spaceship and you can add wings,2,2,2,2
40497,58,1,box,a tunnel,3,1,2,1
40498,58,1,box,paint it and use to for decoration in a house,2,2,1,3
40499,58,1,box,use it as a coffee table,2,2,1,2
40500,59,1,box,airplane,2,1,2,4
40501,59,1,box,bed,2,1,1,3
40502,59,1,box,house,2,1,1,2
40503,59,1,box,punching bag,2,3,2,3
40504,59,1,box,ship,2,1,1,4
40505,59,1,box,sled,2,1,1,5
40506,59,1,box,step stool,3,1,1,1
40507,59,1,box,to draw on,2,1,1,3
40508,59,1,box,tree topper,2,3,2,5
40509,59,1,box,truck,2,1,1,4
40510,59,1,box,weapon,1,1,1,4
40511,60,1,box,build a castle,2,1,2,4
40512,60,1,box,coloring for children,2,1,1,4
40513,60,1,box,costume,2,1,2,4
40514,60,1,box,door mat,3,2,2,4
40515,60,1,box,exercise class,3,1,2,3
40516,60,1,box,hid in go seek,2,1,2,2
40517,60,1,box,inn a race,1,1,1,3
40518,60,1,box,jump on,2,1,2,2
40519,60,1,box,mask,2,2,2,4
40520,60,1,box,sled,2,1,1,5
40521,60,1,box,superman,1,1,1,1
40522,60,1,box,used in a fight,2,1,1,5
40523,60,1,box,weight lifting,3,2,3,3
40524,61,1,box,Basketball Goal,3,2,2,5
40525,61,1,box,Go-kart frame,2,3,2,3
40526,61,1,box,Hockey Goal,3,2,2,5
40527,61,1,box,sled,2,1,1,3
40528,61,1,box,snow board,3,1,1,3
40529,61,1,box,Soccer Goal,2,2,2,5
40530,61,1,box,Trash Can,2,1,1,1
40531,61,1,box,Trash Can,2,1,1,1
40532,62,1,box,a foot rest,2,1,1,1
40533,62,1,box,a home entertainment system,3,2,2,2
40534,62,1,box,a house or fort for animals,2,1,2,4
40535,62,1,box,cardboard machete volcano,2,2,3,5
40536,63,1,box,building,1,1,1,1
40537,63,1,box,cooking,2,1,2,4
40538,63,1,box,creating beats for a song,3,2,2,2
40539,63,1,box,dancing,2,1,2,4
40540,63,1,box,doing hair,1,1,1,5
40541,63,1,box,drawing,2,2,1,3
40542,63,1,box,juggling,3,2,2,1
40543,63,1,box,painting,2,2,1,3
40544,63,1,box,playing a instrument,2,2,2,4
40545,63,1,box,poetry,1,1,1,3
40546,63,1,box,rapping,2,1,1,1
40547,63,1,box,singing,1,1,2,2
40548,63,1,box,skate boarding,1,1,2,1
40549,63,1,box,skating,1,1,2,1
40550,63,1,box,writing,2,1,1,3
40551,64,1,box,Completely taking the apart  you can then reconstruct it to make a square flower,3,3,2,5
40552,64,1,box,If the is closed  then punch a hole in the side of it and make a robot head,2,2,2,2
40553,64,1,box,Open the flaps of the Cut them off and then you have a car,2,2,2,3
40554,64,1,box,Wings,2,2,2,5
40555,65,1,box,a dress,2,1,2,2
40556,65,1,box,a house for a cat,2,1,2,1
40557,65,1,box,as a shadow,2,2,2,1
40558,65,1,box,to plant flowers in,2,2,2,1
40559,65,1,box,you can use it to make a bird house,2,3,2,1
40560,66,1,box,Line the with foil and cut a hole in the top Place it outside in the sun  when the temperature is above 80  and place a magnifying glass on top of the hole Inside the  directly under the hole  should be a meal that is uncooked The heat should c,5,3,4,4
40561,67,1,box,basketball goal,3,2,2,3
40562,67,1,box,build a hoover craft,2,3,3,4
40563,67,1,box,building a house,2,1,1,1
40564,67,1,box,carrying you books to school,2,1,1,1
40565,67,1,box,design a room in,3,1,1,3
40566,67,1,box,dog bed,2,1,2,2
40567,67,1,box,making a care,1,1,1,1
40568,67,1,box,making a manager scene,2,2,2,2
40569,67,1,box,making stop sign,2,2,2,2
40570,67,1,box,storage,1,1,1,1
40571,67,1,box,toy car,2,2,2,2
40572,67,1,box,use as a canvas,2,2,1,3
40573,67,1,box,use as a chair,2,1,1,2
40574,67,1,box,use as a desk,2,1,1,3
40575,67,1,box,use to take notes on,2,2,1,2
40576,67,1,box,use to test paints,2,3,1,3
40577,68,1,box,Connecting to make a bed,3,1,2,4
40578,68,1,box,Drawing,2,2,1,3
40579,68,1,box,Floats,2,1,1,1
40580,68,1,box,Fort,2,1,2,3
40581,68,1,box,Hat,2,1,1,3
40582,68,1,box,Homes,2,1,1,3
40583,68,1,box,Kicking Game,2,2,2,3
40584,68,1,box,Outfit,1,2,2,2
40585,68,1,box,Plate,2,2,1,3
40586,68,1,box,Shelter,2,1,1,3
40587,68,1,box,Sitting,2,1,1,1
40588,68,1,box,Spaceships,2,2,2,3
40589,68,1,box,Stacking,2,2,1,2
40590,68,1,box,Throwing,2,1,2,2
40591,68,1,box,Toy Car,2,2,2,3
