id,idea_content,llama33k10,for_user_id,round_id
20125,temporary/disposable plates,401,2014,1
20126,organizer for computer wires,305,2014,1
20127,biodegradable portable garden,511,2014,1
20128,step stool,104,2014,1
20129,reconstructed as a wagon,191,2014,1
20130,fairy village,702,2014,1
20131,giant Lego,546,2014,1
20132,pet house,230,2014,1
20133,makeshift armor,196,2014,1
20134,table,84,2015,1
20135,bed,4,2015,1
20136,car,59,2015,1
20137,chairs,8,2015,1
20138,costume,30,2015,1
20139,football,566,2015,1
20140,skirt,286,2015,1
20141,scarf,461,2015,1
20142,robot suit,356,2015,1
20143,ceiling storage,376,2015,1
20144,hat,26,2016,1
20145,belt,489,2016,1
20146,robot,233,2016,1
20147,fort,16,2017,1
20148,drawer,211,2017,1
20149,jewelry,227,2017,1
20150,bed,4,2017,1
20151,car,59,2017,1
20152,helmet,287,2017,1
20153,robot,233,2017,1
20154,wardrobe,294,2017,1
20155,shelter,7,2017,1
20156,spaceship,132,2017,1
20157,cabinet,139,2017,1
20158,habitat,323,2017,1
20159,a house,35,2018,1
20160,dress,83,2018,1
20161,robot costume,356,2018,1
20162,packing peanuts,43,2018,1
20163,as bread slices,391,2018,1
20164,a very large die,15,2018,1
20165,Hat,26,2019,1
20166,Fan,273,2019,1
20167,Pillow,127,2019,1
20168,Chair,8,2019,1
20169,Ladder,117,2019,1
20170,Umbrella,92,2019,1
20171,Dogs house,106,2019,1
20172,tent,449,2020,1
20173,cave,225,2020,1
20174,playground,481,2020,1
20175,boat,58,2020,1
20176,puppet stage,383,2020,1
20177,step stool,104,2020,1
20178,cat holder,551,2020,1
20179,mask,420,2021,1
20180,step stool,104,2021,1
20181,create a dam,318,2021,1
20182,Play toy i.e. Fort  Rocketship,682,2021,1
20183,Cat house,94,2021,1
20184,Kindling material for fire,400,2021,1
20185,a hat,26,2022,1
20186,Have it house a computer,630,2022,1
20187,Line with a plastic bag so you can carry fish more easily,621,2022,1
20188,have the top and sides fold out so its flat and has a diorama inside,180,2022,1
20189,Fan,273,2023,1
20190,Airplane,443,2023,1
20191,Bench,351,2023,1
20192,Canvas,69,2023,1
20193,Clothing,118,2023,1
20194,Instrument,179,2023,1
20195,Sled,22,2023,1
20196,Shelter,7,2023,1
20197,Planter for plants,66,2023,1
20198,Blanket,108,2023,1
20199,desk,144,2024,1
20200,table,84,2024,1
20201,frame,123,2024,1
20202,Fort,16,2024,1
20203,Wall,205,2024,1
20204,house,35,2024,1
20205,bumper,430,2024,1
20206,cabinet,139,2024,1
20207,shield,14,2024,1
20208,ball pin,67,2024,1
20209,hat,26,2025,1
20210,table,84,2025,1
20211,pet,224,2025,1
20212,house,35,2025,1
20213,car,59,2025,1
20214,shelf,21,2025,1
20215,stool,159,2025,1
20216,wagon,191,2025,1
20217,train,479,2025,1
20218,doghouse,106,2025,1
20219,playhouse,163,2025,1
20220,spaceship,132,2025,1
20221,umbrella,92,2025,1
20222,surfboard,122,2025,1
20223,dog bed,193,2025,1
20224,To use to make yourself into a rowboat,313,2026,1
20225,Use it to play games,466,2026,1
20226,To use as a peg leg,129,2026,1
20227,Put a cat in it,335,2026,1
20228,To make into a Halloween outfit,130,2026,1
20229,Hide small presents inside,183,2026,1
20230,To Paint for a center piece,557,2026,1
20231,To put it on top of your pets,582,2026,1
20232,To fit a person inside,487,2026,1
20233,To put on top of a person,576,2026,1
20234,Use it as a floor mate,501,2027,1
20235,Can be used when cleaning to et in between small cracks and corners,151,2027,1
20236,Can be used to prevent scratches on floor,189,2027,1
20237,use it as a homemade picture frame,123,2027,1
20238,Use it as a way to relax Put it over your head and think,372,2027,1
20239,table,84,2028,1
20240,audio,568,2028,1
20241,bed,4,2028,1
20242,canvas,69,2028,1
20243,platform,315,2028,1
20244,chair,8,2028,1
20245,boat,58,2028,1
20246,Shield,14,2028,1
20247,time machine,164,2028,1
20248,hat,26,2029,1
20249,hat,26,2029,1
20250,weapon,141,2029,1
20251,pedestal,56,2029,1
20252,terrarium,494,2029,1
20253,Jenga piece,564,2029,1
20254,puppet theater,383,2029,1
20255,turtle shell,181,2029,1
20256,crap collector,137,2029,1
20257,shoe holder,367,2029,1
20258,tiny house,35,2029,1
20259,brick in fort,651,2029,1
20260,pet bed,543,2029,1
20261,Fort,16,2030,1
20262,Seat,27,2030,1
20263,Play area for an animal,70,2030,1
20264,House,35,2030,1
20265,Cut up and design things with,512,2030,1
20266,Eat out of,693,2030,1
20267,Color on,170,2030,1
20268,Boat,58,2030,1
20269,Treasure Chest,115,2030,1
20270,Hideout,208,2030,1
20271,Time Capsule,653,2030,1
20272,Foot Stool,451,2030,1
20273,Part of a costume,463,2030,1
20274,Reuse for presents,28,2030,1
20275,using multiple to build a transpiration object  such as a plane,412,2031,1
20276,Poking holes in it to use as a Filter if metal,147,2031,1
20277,Fighting with a,218,2031,1
20278,House/Living,692,2031,1
20279,Using as a wheel,663,2031,1
20280,Table,84,2032,1
20281,Cage,65,2032,1
20282,House,35,2032,1
20283,goal,534,2032,1
20284,Bookcase,19,2032,1
20285,cover,298,2032,1
20286,Chair,8,2032,1
20287,Matt,387,2032,1
20288,table,84,2033,1
20289,break down and tear into pieces for a collage,310,2033,1
20290,jump on it,513,2033,1
20291,build an accordion,540,2033,1
20292,chair or stool,319,2033,1
20293,use it to go over Niagara falls,321,2033,1
20294,wear it as a hat,26,2033,1
20295,delaminate the cardboard and write a magnum opus,217,2033,1
20296,wear it as a dress,697,2033,1
20297,put it out to catch a troll,276,2033,1
20298,use it as a cape,368,2033,1
20299,break it down and sleep o it,669,2033,1
20300,hat,26,2034,1
20301,table,84,2034,1
20302,container,435,2034,1
20303,shelf,21,2034,1
20304,stool,27,2034,1
20305,costume,30,2034,1
20306,floatation device,87,2034,1
20307,barrier,267,2034,1
20308,playpen,70,2034,1
20309,organizer,608,2034,1
20310,recycling bin,350,2034,1
20311,side table,20,2034,1
20312,club house,54,2034,1
20313,floor covering painting,422,2035,1
20314,moving,615,2035,1
20315,shack,628,2035,1
20316,sled,22,2035,1
20317,mat,53,2035,1
20318,forts,16,2035,1
20319,store things,32,2035,1
20320,make signs,158,2035,1
20321,hat,26,2036,1
20322,plate,664,2036,1
20323,shoes,1,2036,1
20324,jewelry,227,2036,1
20325,house,35,2036,1
20326,food,414,2036,1
20327,tray,377,2036,1
20328,art,389,2036,1
20329,pillow,127,2036,1
20330,cup,156,2036,1
20331,cooking utensil,362,2036,1
20332,flooring,18,2036,1
20333,bedding,375,2036,1
20334,transportation,324,2036,1
20335,flotation device,87,2036,1
20336,form of communication,645,2036,1
20337,use for sledding when there is snow,301,2037,1
20338,hold your Christmas tree  so that the plastic parts fall in to the,41,2037,1
20339,hat,26,2039,1
20340,table,84,2039,1
20341,plate,13,2039,1
20342,padding,215,2039,1
20343,insulation,39,2039,1
20344,patching material,143,2039,1
20345,alternative to painters paper,329,2039,1
20346,kindling for fire,400,2039,1
20347,Halloween costume,130,2039,1
20348,cat toy,72,2039,1
20349,trash can,137,2039,1
20350,hat,26,2040,1
20351,table,84,2040,1
20352,cart,229,2040,1
20353,cart,229,2040,1
20354,lamp,292,2040,1
20355,shirt,393,2040,1
20356,armor,196,2040,1
20357,boat,58,2040,1
20358,shield,14,2040,1
20359,step stool,104,2040,1
20360,window shutter,493,2040,1
20361,door stop,44,2040,1
20362,building block,341,2040,1
20363,Put a cat in,335,2041,1
20364,take apart and use as a sled,301,2041,1
20365,put between you and someone you don't want to talk to,189,2041,1
20366,cut it and fold it into an umbrella to keep you dry,694,2042,1
20367,burn it and use the ashes mixed with water as a writing substance,36,2042,1
20368,teleportation device to transfer goods to the homeless,480,2042,1
20369,chop it up and use it as insulation,235,2042,1
20370,drum,42,2043,1
20371,guitar add strings,550,2043,1
20372,shoes Shoebox,373,2043,1
20373,sled,22,2043,1
20374,makeshift litterbox,499,2043,1
20375,lampshade,331,2043,1
20376,play mat unfolded,595,2043,1
20377,flower pot,311,2043,1
20378,Cut into wings,488,2043,1
20379,racecar,23,2043,1
20380,dog bed,193,2043,1
20381,art canvas,69,2043,1
20382,shelter/cover,7,2043,1
20383,play house,163,2043,1
20384,hat,26,2044,1
20385,car,59,2044,1
20386,super Mario costume,30,2044,1
20387,used to lock up ghosts,339,2044,1
20388,sled,22,2044,1
20389,haute couture,601,2044,1
20390,interdimensional portal,444,2044,1
20391,Time machine,164,2044,1
20392,tubes connecting a tree house,361,2044,1
20393,painting drop cloth,505,2045,1
20394,square edge for measurement,37,2045,1
20395,snow sled,22,2045,1
20396,Halloween costume,468,2045,1
20397,Dog Bed,193,2045,1
20398,degradable planting container,198,2045,1
20399,exercise tool,246,2045,1
20400,child's toy racecar,23,2045,1
20401,Cutting it into smaller squares and adding more sides to those until you have multiple tiny,253,2046,1
20402,Grating it with a cheese grater,112,2046,1
20403,cutting of the flaps and strapping them on the back of a squirrel and pretending its a bird,405,2046,1
20404,dinner plate,13,2046,1
20405,Soggy hat in the rain,529,2046,1
20406,Get a lot of them in different sizes and make Russian Nesting Dolls,352,2046,1
20407,window,421,2047,1
20408,tv,378,2047,1
20409,drum,42,2047,1
20410,bed,4,2047,1
20411,mind,271,2047,1
20412,instrument,179,2047,1
20413,spaceship,132,2047,1
20414,learning,549,2047,1
20415,boat,58,2047,1
20416,UFO,399,2047,1
20417,treasure chest,115,2047,1
20418,black hole,409,2047,1
20419,balance beam,212,2047,1
20420,step stool,104,2047,1
20421,cat house,94,2047,1
20422,computer screen,604,2047,1
20423,Christmas present,101,2047,1
20424,as a demonstration of the concept of volume,333,2048,1
20425,as a vehicle,355,2048,1
20426,as compost material,192,2048,1
20427,as a time machine,164,2048,1
20428,as material for a sculpture,707,2048,1
20429,as a form of shelter,7,2048,1
20430,as a last name,617,2048,1
20431,as tinder to start a fire,400,2048,1
20432,as a piece of clothing,118,2048,1
20433,Seat,27,2049,1
20434,Theme for a theme park,602,2049,1
20435,Sled,22,2049,1
20436,Cave,225,2049,1
20437,Shovel,524,2049,1
20438,Treasure Chest,115,2049,1
20439,Habitat for a mouse,7,2049,1
20440,Rocket Fuel,427,2049,1
20441,Board as in a blackboard for a classroom,161,2049,1
20442,imaginary cave,700,2050,1
20443,cat playhouse,567,2050,1
20444,play tunnel,492,2050,1
20445,alien helmet,349,2050,1
20446,drawing canvas,161,2050,1
20447,garden compost,192,2050,1
20448,giant dice,15,2050,1
20449,hat,26,2051,1
20450,locker,283,2051,1
20451,house,35,2051,1
20452,canvas,69,2051,1
20453,home for a vagabond,464,2051,1
20454,cat scratching post,442,2051,1
20455,wardrobe,294,2051,1
20456,trampoline,454,2051,1
20457,ant kingdom,2,2051,1
20458,snake house,128,2051,1
20459,keeping towels,458,2051,1
20460,imaginarium,497,2051,1
20461,dinner plate,13,2051,1
20462,pretend car,365,2051,1
20463,graffiti target,644,2051,1
20464,keeping clothes,358,2051,1
20465,pet house,230,2051,1
20466,storing letters,639,2051,1
20467,trash can,137,2051,1
20468,shooting practice,589,2051,1
20469,use it for exercise,484,2051,1
20470,play house,163,2051,1
20471,book bag,314,2051,1
20472,House,35,2052,1
20473,Mouse Catcher,386,2052,1
20474,Step Stool,104,2052,1
20475,Door,249,2053,1
20476,Computer,347,2053,1
20477,Wall,205,2053,1
20478,Toilet,153,2053,1
20479,Airplane,443,2053,1
20480,Bed,4,2053,1
20481,Car,59,2053,1
20482,Bench,351,2053,1
20483,Furniture,388,2053,1
20484,Oven,303,2053,1
20485,Refrigerator,506,2053,1
20486,Sink,316,2053,1
20487,Stove,547,2053,1
20488,Clock,60,2053,1
20489,Fork,686,2053,1
20490,Weapon,141,2053,1
20491,Rank,390,2053,1
20492,Bus,532,2053,1
20493,Classroom,572,2053,1
20494,Shelter,7,2053,1
20495,Pail,48,2053,1
20496,Raft,214,2053,1
20497,Boat,58,2053,1
20498,Flooring,18,2053,1
20499,Shovel,524,2053,1
20500,Blanket,108,2053,1
20501,Roofing,234,2053,1
20502,Writing Utensil,203,2053,1
20503,Dog Cage,167,2053,1
20504,Gas Pump,188,2053,1
20505,Power Outlet,665,2053,1
20506,Vending Machine,507,2053,1
20507,Food Storage,531,2053,1
20508,Presentation Platform,12,2053,1
20509,Cell Phone,73,2053,1
20510,room,637,2054,1
20511,as a ball,116,2054,1
20512,a table,84,2054,1
20513,food,414,2054,1
20514,roll in,636,2054,1
20515,sit on,197,2054,1
20516,a stand,5,2054,1
20517,lighting,626,2054,1
20518,cushion,510,2054,1
20519,stair,138,2054,1
20520,speaker holder,279,2054,1
20521,to play fetch,116,2054,1
20522,hat,26,2055,1
20523,table,84,2055,1
20524,crate,3,2055,1
20525,storage,32,2055,1
20526,sled,22,2055,1
20527,boat,58,2055,1
20528,lamp shade,331,2055,1
20529,floor cover,18,2055,1
20530,filing cabinet,139,2055,1
20531,table,84,2056,1
20532,house,35,2056,1
20533,garden,306,2056,1
20534,stool,159,2056,1
20535,sled,22,2056,1
20536,lunchbox,219,2056,1
20537,puppet show,383,2056,1
20538,plant pot,66,2056,1
20539,baby bed,706,2056,1
20540,paint face on,363,2056,1
20541,dog house,106,2056,1
20542,Fort,16,2057,1
20543,House,35,2057,1
20544,sled,22,2057,1
20545,shelter,7,2057,1
20546,Frisbee target,96,2057,1
20547,lacrosse goal,668,2057,1
20548,Hiding spot,7,2057,1
20549,puppet house,145,2057,1
20550,jump out of to surprise,403,2057,1
20551,hockey goal,213,2057,1
20552,soccer goal,223,2057,1
20553,shooting target,135,2057,1
20554,put present in,183,2057,1
20555,Throw it like a ball,116,2058,1
20556,Use it to jack up a car,447,2058,1
20557,Make a beehive,236,2058,1
20558,Make a shower curtain,178,2058,1
20559,Sit on it,197,2058,1
20560,raft,214,2058,1
20561,Keep a snake in it,431,2058,1
20562,Make a maze,537,2058,1
20563,bird feeder,110,2058,1
20564,Wear as a hat,26,2058,1
20565,Wear it as a costume,392,2058,1
20566,Use it as a sled,22,2058,1
20567,Practice boxing,538,2058,1
20568,paper,519,2059,1
20569,hat,26,2059,1
20570,container,435,2059,1
20571,roof,234,2059,1
20572,fort,16,2059,1
20573,seat,27,2059,1
20574,house,35,2059,1
20575,suitcase,148,2059,1
20576,fence,64,2059,1
20577,costume,30,2059,1
20578,hide,272,2059,1
20579,kite,465,2059,1
20580,throne,678,2059,1
20581,calendar,597,2059,1
20582,mat,53,2059,1
20583,divider,232,2059,1
20584,umbrella,92,2059,1
20585,surfboard,122,2059,1
20586,filler material,642,2059,1
20587,flower bed,680,2059,1
20588,fire starter,400,2059,1
20589,paper towel,586,2059,1
20590,fake fire place,171,2060,1
20591,ant farm,154,2060,1
20592,turtle shell,181,2060,1
20593,bear trap,105,2060,1
20594,race car,23,2060,1
20595,desk,144,2061,1
20596,hat,26,2061,1
20597,table,84,2061,1
20598,shoes,1,2061,1
20599,fort,16,2061,1
20600,toilet,153,2061,1
20601,bed,4,2061,1
20602,house,35,2061,1
20603,shelf,21,2061,1
20604,couch,620,2061,1
20605,dress,83,2061,1
20606,stool,159,2061,1
20607,stand,5,2061,1
20608,chair,8,2061,1
20609,sled,22,2061,1
20610,outfit,297,2061,1
20611,self,459,2061,1
20612,shield,14,2061,1
20613,pet bed,193,2061,1
20614,hold clothes,358,2061,1
20615,Pretend its a shield,14,2062,1
20616,Make a robot,654,2062,1
20617,Make a fort,248,2062,1
20618,Make a costume,130,2062,1
20619,Flatten it and make a sled,301,2062,1
20620,Make it a drum,42,2062,1
20621,Make a soccer  basketball goal,299,2062,1
20622,put it over an area to kill the plant growth,541,2063,1
20623,house small pets,126,2063,1
20624,flatten and use as surface to bare down on,573,2063,1
20625,giant manual fan,273,2063,1
20626,stair sled,428,2063,1
20627,a small sandbox,364,2063,1
20628,cigarette filter,285,2063,1
20629,used to create a sound absorbing recording studio,82,2063,1
20630,Storage,32,2064,1
20631,stand,5,2064,1
20632,chair,8,2064,1
20633,steps,81,2064,1
20634,robot costume,30,2064,1
20635,nightstand,250,2064,1
20636,alien costume,30,2064,1
20637,door prop,275,2064,1
20638,play television,52,2064,1
20639,workout equipment,509,2064,1
20640,display case,477,2064,1
20641,play house,163,2064,1
20642,Build a spaceship  use it as a sled  a makeshift tent when camping  to make a robot costume,309,2065,1
20643,a mask,237,2066,1
20644,a sled,22,2066,1
20645,a very ineffective helmet,455,2066,1
20646,a source of cardboard to make other things,503,2066,1
20647,A shadow that can be hung on the wall,140,2066,1
20648,A miniature house for a small pet,230,2066,1
20649,something to put heavy things in and slide them across the floor more easily,548,2066,1
20650,desk,144,2067,1
20651,doghouse,106,2067,1
20652,sled,22,2067,1
20653,play fort,169,2067,1
20654,punching bag,107,2067,1
20655,writing to do lists,658,2067,1
20656,target practice,589,2067,1
20657,bed,4,2068,1
20658,Car,59,2068,1
20659,purse,296,2068,1
20660,playhouse,163,2068,1
20661,earring,322,2068,1
20662,window,421,2071,1
20663,hat,26,2071,1
20664,table,84,2071,1
20665,shoes,1,2071,1
20666,fort,16,2071,1
20667,canvas,69,2071,1
20668,chair,8,2071,1
20669,stage,315,2071,1
20670,cave,225,2071,1
20671,boat,58,2071,1
20672,shield,14,2071,1
20673,candle holder,302,2071,1
20674,projector when you cut out the hole,10,2071,1
20675,Home,35,2072,1
20676,Plate,13,2072,1
20677,Food,414,2072,1
20678,Make a play town for small animals,291,2072,1
20679,Wings,259,2072,1
20680,Casket,177,2072,1
20681,Marker,203,2072,1
20682,Art,389,2072,1
20683,Dance on,281,2072,1
20684,Clock,60,2072,1
20685,Clothes,118,2072,1
20686,Patterns,98,2072,1
20687,Filter,666,2072,1
20688,Shovel,524,2072,1
20689,Elephant ears,470,2072,1
20690,Pizza tray,698,2072,1
20691,Design weaponry,648,2072,1
20692,Make hats,176,2072,1
20693,hat,26,2073,1
20694,storage,32,2073,1
20695,poster,453,2073,1
20696,a clubhouse,54,2073,1
20697,costume,30,2073,1
20698,chair,8,2073,1
20699,sled,22,2073,1
20700,ottoman,450,2073,1
20701,flower pot,311,2073,1
20702,step stool,104,2073,1
20703,dog pen,240,2073,1
20704,Fort,16,2074,1
20705,Stool,159,2074,1
20706,Costume,30,2074,1
20707,Painting Canvas,69,2074,1
20708,Foot Rest,175,2074,1
20709,using it as notebook paper,585,2075,1
20710,rolling the down the hill so it can be chased by a dog,168,2075,1
20711,using the as an imaginary space ship into space,518,2075,1
20712,using the as a sled,22,2075,1
20713,using the as a jacket,245,2075,1
20714,using the  as a hat,26,2075,1
20715,using pieces of the to incorporate in mixed medium art,304,2075,1
20716,home,35,2076,1
20717,gift,101,2076,1
20718,storage,32,2076,1
20719,seat,27,2076,1
20720,collecting,247,2076,1
20721,cooking,184,2076,1
20722,cooking,184,2076,1
20723,idea,544,2076,1
20724,decorating,241,2076,1
20725,steps,81,2076,1
20726,shelter,7,2076,1
20727,gathering,247,2076,1
20728,transporting,324,2076,1
20729,sandbox,364,2076,1
20730,separation,232,2076,1
20731,organizing,522,2076,1
20732,shielding,14,2076,1
20733,height adjustment,609,2076,1
20734,an easel,330,2077,1
20735,Hide away messy/ugly things,272,2078,1
20736,use the cardboard for a photo lighting project,166,2078,1
20737,Cat home,94,2078,1
20738,A poor person TV stand,638,2078,1
20739,hat,26,2079,1
20740,storage,32,2079,1
20741,cage,65,2079,1
20742,shelf,21,2079,1
20743,suitcase,148,2079,1
20744,chair,8,2079,1
20745,present,553,2079,1
20746,diorama,523,2079,1
20747,pedestal,56,2079,1
20748,incense,575,2079,1
20749,lunchbox,219,2079,1
20750,trashcan,48,2079,1
20751,lampshade,331,2079,1
20752,collage material,61,2079,1
20753,dark place,581,2079,1
20754,trophy case,477,2079,1
20755,doll house,560,2079,1
20756,homemade paper,396,2079,1
20757,A cardboard place to live after college  a hat  a storage place for more    an obstacle  a sled  a hiding place,332,2080,1
20758,door,249,2081,1
20759,fan,273,2081,1
20760,fort,16,2081,1
20761,flooring,18,2081,1
20762,lamp shade,331,2081,1
20763,magic trick,103,2081,1
20764,play pen,70,2081,1
20765,cat bed,258,2081,1
20766,school project,695,2081,1
20767,fake car,365,2081,1
20768,fake computer,467,2081,1
20769,storage,32,2082,1
20770,television,378,2082,1
20771,house,35,2082,1
20772,library,288,2082,1
20773,art,389,2082,1
20774,bookshelf,19,2082,1
20775,clothing,118,2082,1
20776,bathtub,426,2082,1
20777,wallpaper,516,2082,1
20778,skateboard,348,2082,1
20779,secret getaway,625,2082,1
20780,rocket ship,29,2082,1
20781,doll house,560,2082,1
20782,hiding place,257,2082,1
20783,dog house,106,2082,1
20784,time machine,164,2082,1
20785,Storm shelter for a mouse,483,2083,1
20786,Untrustworthy boat,182,2083,1
20787,Stepping stool for a little person,104,2083,1
20788,Hiding place for a birthday present,257,2083,1
20789,House for a family of cardboard people,149,2083,1
20790,Personal space measurer,404,2083,1
20791,Storage for a smaller,160,2083,1
20792,using it as a Frisbee,578,2084,1
20793,coloring room,495,2084,1
20794,playing catch,681,2084,1
20795,dropping it off a building,231,2084,1
20796,using it as a shield,14,2084,1
20797,smoking inside it,266,2084,1
20798,make it your home,640,2084,1
20799,shoes,1,2085,1
20800,fort,16,2085,1
20801,shelves,21,2085,1
20802,color on it,170,2085,1
20803,furniture,388,2085,1
20804,art,389,2085,1
20805,clothes,118,2085,1
20806,tunnel,328,2085,1
20807,plate/bowl,411,2085,1
20808,use it as a stool,159,2085,1
20809,arts and crafts,202,2085,1
20810,holds things,32,2085,1
20811,hide things,272,2085,1
20812,make tools,80,2085,1
20813,cover things up,272,2085,1
20814,use it as a ball,116,2085,1
20815,tv,378,2086,1
20816,you can kick it around like a ball,116,2086,1
20817,you can make a fort out of it,248,2086,1
20818,car,59,2086,1
20819,spaceship,132,2086,1
20820,use it to take out your aggression by completely mutilating the and stomping on it,51,2086,1
20821,you can use it as a chair long as you put something sturdy under it,381,2086,1
20822,practice your balance by balancing the  on your head,47,2086,1
20823,exercise by jumping in and out of the,86,2086,1
20824,hide and seek,220,2086,1
20825,you can turn it into dices,588,2086,1
20826,table,84,2087,1
20827,food,414,2087,1
20828,furniture,388,2087,1
20829,plane,443,2087,1
20830,clothing,118,2087,1
20831,Spaceship,132,2087,1
20832,skyscraper,293,2087,1
20833,dispensers,611,2087,1
20834,shield,14,2087,1
20835,Teleporting,423,2087,1
20836,Imagination ship,79,2087,1
20837,smart house,618,2087,1
20838,Put your head in it for meditation,372,2088,1
20839,Cut the edges to make a prism like shape and make a chandelier out of it,174,2088,1
20840,Grow plants in it,66,2088,1
20841,Cut it up into slices to make mats,482,2088,1
20842,desk,144,2089,1
20843,shoes,1,2089,1
20844,closet,325,2089,1
20845,house,35,2089,1
20846,dress,83,2089,1
20847,canvas,69,2089,1
20848,bowl,344,2089,1
20849,helmet,287,2089,1
20850,pillow,127,2089,1
20851,backpack,314,2089,1
20852,balloon,133,2089,1
20853,sled,22,2089,1
20854,A pedestal,56,2089,1
20855,dart board,62,2089,1
20856,frisbee,578,2089,1
20857,hiding spot,208,2089,1
20858,wall art,562,2089,1
20859,craft supplies,202,2089,1
20860,boxing practice,538,2089,1
20861,Some people could find it interesting to make a hat out of it because the flaps could look like a ball cap and then you could decorate it as much as you wanted to,264,2090,1
20862,You can make a house out of a big like the refrigerator one  and carving a door and windows out of it Then you could decorate as much as you want my brother and I have done this in the past,136,2090,1
20863,Cut it up and make signs out of the,158,2091,1
20864,Use a as a footrest,175,2091,1
20865,Use a as a doorstop,44,2091,1
20866,Use a as a storage space,32,2091,1
20867,Use it as a laundry hamper,204,2091,1
20868,Use it as a table by taping it up,84,2091,1
20869,Use it to build a fort for kids to play,248,2091,1
20870,Use it as a step stool,104,2091,1
20871,Use it as a chair,8,2091,1
20872,Use it to move,687,2091,1
20873,Cement block mold,187,2092,1
20874,Mini garden,472,2092,1
20875,Makeshift sled,607,2092,1
20876,A serving dish,471,2092,1
20877,A bed for a pet,543,2092,1
20878,Use it as a painting canvas,585,2093,1
20879,Use it to tape to the bottom of shoes so they don't get messed up,614,2093,1
20880,Cover windshield from snow,448,2093,1
20881,Use it to fold clothes neatly,539,2093,1
